id;name;sector;client_since;health;total_spend
1;hence;COMMUNICATION;12365;CRIT;15172.79
2;bootleg like;DEFENCE_NATIONAL_SECURITY;15797;SERIOUS;24737.88
3;intermarry safely;DEFENCE_NATIONAL_SECURITY;32092;GOOD;14528.9
4;embalm relaunch swat;COMMUNICATION;31054;CRIT;29899.27
5;incidentally retention adaptation;DEFENCE_NATIONAL_SECURITY;23922;GOOD;13314.56
6;underplay quicker;OIL_AND_GAS;14107;SERIOUS;28476.58
7;lively hm;DEFENCE_NATIONAL_SECURITY;5839;DONE;12781
8;unnecessarily;HAULAGE_TRANSPORTATION;26343;SERIOUS;25209.84
9;because live;AGRICULTURE;18476;GOOD;2155.38
10;amidst;COMMUNICATION;9648;SERIOUS;28538.52
11;pressure;REAL_ESTATE;8192;SERIOUS;25721.71
12;intensely;HEALTH_HOSPITALITY;21762;GOOD;3421.37
13;demob short augment;RETAIL_DISTRIBUTION;21167;GOOD;8150.49
14;if;OIL_AND_GAS;20595;SERIOUS;23792.04
15;remand certainly beneath;HEALTH_HOSPITALITY;11188;CRIT;29275
16;beyond firm scornful;OIL_AND_GAS;29665;DONE;16570.35
17;besides impressive;INSTITUTIONS_COMMISSIONS_AUTHORITIES;5375;DONE;12001.8
18;instead marksman than;TRANSPORTATION;254;SERIOUS;28295.34
19;swathe before edge;HAULAGE_TRANSPORTATION;27509;GOOD;3322.9
20;overstay oof;OIL_AND_GAS;7119;GOOD;13493.79
21;graffiti shark;PRIVATE_RESIDENCES_BUSINESSES;24008;CRIT;6660.2
22;finally spellcheck times;DEFENCE_NATIONAL_SECURITY;13089;WARN;26708.94
23;before pressure pecan;HAULAGE_TRANSPORTATION;12031;WARN;760.97
24;yum though;AGRICULTURE;10244;CRIT;20288.95
25;daily instead to;REAL_ESTATE;17217;WARN;27717.5
26;ah before whoever;RETAIL_DISTRIBUTION;21130;GOOD;21218.84
27;ouch pliers;REAL_ESTATE;15300;SERIOUS;15684.63
28;properly lined;DEFENCE_NATIONAL_SECURITY;25817;DONE;27920.04
29;shadowbox provided;HAULAGE_TRANSPORTATION;19222;CRIT;32313.19
30;among strictly likewise;HEALTH_HOSPITALITY;13234;WARN;16143.83
