id;name;description;module_count;mode;lab_based;enrolled_count;progress
1;pigpen row;brr abaft if;11762;IN_HOUSE;false;12710;57
2;big;dandelion woot;31709;IN_HOUSE;true;9318;50
3;uh-huh gosh;excluding;18431;IN_HOUSE;false;22901;24
4;whup numeracy oof;catalyst sneak mid;1915;IN_HOUSE;true;11776;18
5;orderly dapper phew;healthily deceivingly worth;23032;IN_HOUSE;false;29519;51
6;soon;meanwhile mechanic sleet;21469;IN_HOUSE;false;12043;26
7;phony;capitalise;20424;VIRTUAL;false;22328;95
8;mmm;swanling edge mmm;10533;VIRTUAL;true;32081;96
9;hungrily;meanwhile pecan;6954;IN_HOUSE;false;2485;17
10;anenst until;questioningly availability buzzing;15540;VIRTUAL;true;4162;38
11;bungalow gadzooks aboard;meh;31777;VIRTUAL;true;3865;29
12;developmental ick;quaintly;9046;IN_HOUSE;true;13708;57
13;warmly;until ascribe gulp;29436;VIRTUAL;true;17629;40
14;nor defendant;as willfully;28738;VIRTUAL;true;28965;38
15;industrialize while;but psst terraform;20061;IN_HOUSE;false;25571;57
16;morbidity hidden rebel;silently ew um;12606;IN_HOUSE;false;13363;47
17;yahoo underneath volleyball;which;16936;VIRTUAL;false;8070;3
18;unnaturally;barge;11938;VIRTUAL;true;9601;7
19;proceed final;unlike hmph;32488;VIRTUAL;true;12438;39
20;towards;defiantly;24474;IN_HOUSE;false;28885;86
21;inwardly;dimly although inborn;23207;VIRTUAL;true;17008;39
22;yuck vice arcade;pish switchboard;7793;VIRTUAL;false;29339;91
23;quickly midwife metabolite;arcade comestible pale;30873;VIRTUAL;true;16620;55
24;standard since brightly;times ew;3896;VIRTUAL;false;9034;67
25;pointed briefly;huzzah solution anneal;30111;IN_HOUSE;true;2045;33
26;whack worth;glow;18756;VIRTUAL;false;27934;51
27;which assured rosemary;bog thread astride;3887;IN_HOUSE;false;29066;70
28;contradict unto via;bah;28443;VIRTUAL;true;22864;3
29;sedately;and;10743;VIRTUAL;true;31535;81
30;sweetly off;whereas unbearably below;24660;VIRTUAL;true;9368;81
