id;title;state;position;project_id
1;term oh knotty;DONE;24613;1
2;ugh meanwhile preregister;NEXT;9416;2
3;so;NOW;8590;3
4;inject juvenile weep;DONE;8020;4
5;alb attend uh-huh;DONE;21627;5
6;uh-huh medium;NOW;6387;6
7;provided packaging;NEXT;28974;7
8;unbearably;NEXT;620;8
9;supposing gadzooks;NEXT;7653;9
10;agile;DONE;1;10
11;woot;NOW;30947;11
12;drat athwart;NOW;21887;12
13;home memorable;DONE;17814;13
14;finally;NOW;12293;14
15;aw woefully impractical;DONE;13152;15
16;gadzooks tender;NOW;7875;16
17;hastily psst;DONE;29390;17
18;kielbasa;NOW;19542;18
19;phooey;NEXT;22764;19
20;minty overheard;NEXT;6142;20
21;intend acidly opposite;NOW;27511;21
22;evenly out;DONE;9579;22
23;lean;NOW;24916;23
24;self-reliant sharply loftily;NEXT;11260;24
25;oof;NEXT;32712;25
26;er scorn councilman;DONE;30859;26
27;to if opposite;NEXT;26733;27
28;horse dislocate meh;NOW;4139;28
29;whether because beyond;NEXT;12664;29
30;male represent lace;NOW;13113;30
