id;reference;name;pillar;status;progress;due_date;delivered;budget;spent;tech_stack;client_id
1;scarily;gleaming past yum;ENTERPRISE_INTEGRATION;WARN;26;2026-08-01;false;4446.03;13134.95;useless;1
2;unbearably absent;positively;CAPACITY_BUILDING;SERIOUS;12;2026-08-02;false;3982.39;26397.67;after likewise;2
3;turbulent;official phooey;BESPOKE_SOLUTIONS;GOOD;4;2026-08-01;false;6992.76;1570.51;um aha;3
4;tut eek continually;gah next;BESPOKE_SOLUTIONS;WARN;4;2026-08-02;false;19153.69;25192.41;selfishly gah serve;4
5;yahoo oxygenate ick;likewise vanadyl bliss;CAPACITY_BUILDING;CRIT;31;2026-08-02;false;3369.97;14151.55;creator;5
6;against;considering wasteful;ENTERPRISE_INTEGRATION;CRIT;91;2026-08-02;true;30146.47;26357.11;persecute season;6
7;declaration unto;violently er;BESPOKE_SOLUTIONS;CRIT;16;2026-08-01;true;13420.42;10961.49;yowza carelessly;7
8;per;even inasmuch grandpa;ENTERPRISE_INTEGRATION;WARN;80;2026-08-01;false;23803.45;26503.17;unsung what quinoa;8
9;fumigate;ick;CAPACITY_BUILDING;WARN;11;2026-08-02;true;4063.01;379.35;whenever;9
10;huzzah where versus;expert little silently;ENTERPRISE_INTEGRATION;DONE;71;2026-08-02;true;2711.44;6863.89;dead ugh whale;10
11;injunction where;duh duh distinct;ENTERPRISE_INTEGRATION;GOOD;15;2026-08-01;true;20510.68;30593.43;enormously;11
12;beautifully elderly;er hence nippy;ENTERPRISE_INTEGRATION;GOOD;92;2026-08-02;false;14145.83;31710.96;tennis showy hovel;12
13;testify;shoot athwart boohoo;DIGITAL_TRANSFORMATION;CRIT;86;2026-08-01;true;57.41;18845.17;handy;13
14;qua backburn warp;powerful card flint;BESPOKE_SOLUTIONS;GOOD;62;2026-08-01;false;4116.75;8887.1;ultimately yet inside;14
15;radiant foolish;when castanet ugh;ENTERPRISE_INTEGRATION;WARN;10;2026-08-02;false;894.25;26920.03;even;15
16;flickering;gum;ENTERPRISE_INTEGRATION;WARN;22;2026-08-02;false;12673.13;2491.06;grizzled behind daintily;16
17;obediently married;toward frenetically unwilling;DIGITAL_TRANSFORMATION;SERIOUS;61;2026-08-01;false;5813.77;20928;cinch;17
18;oddly apropos rekind;likewise upside-down in;ENTERPRISE_INTEGRATION;CRIT;20;2026-08-01;true;3172.97;11072.34;aw openly;18
19;huzzah;who boo distant;BESPOKE_SOLUTIONS;DONE;61;2026-08-02;true;3929.15;18000;circular vanadyl;19
20;cleverly whoever whi;upon pish excluding;CAPACITY_BUILDING;GOOD;9;2026-08-02;false;18633.51;3769.54;inasmuch psst;20
21;fooey flat usually;versus pace;DIGITAL_TRANSFORMATION;GOOD;56;2026-08-02;true;15663.99;8546.83;mid;21
22;vast until till;regulate symbolise raw;CONSULTANCY;CRIT;72;2026-08-01;true;13475.38;17148.79;brr strange ack;22
23;mismatch ew;with sunbathe times;CONSULTANCY;WARN;12;2026-08-02;true;30073.18;25794.58;around powerfully restfully;23
24;provided shoot after;formal;BESPOKE_SOLUTIONS;CRIT;3;2026-08-01;true;26371.77;30285.44;inwardly;24
25;unruly;below reference ape;DIGITAL_TRANSFORMATION;GOOD;81;2026-08-01;true;6246.13;5693.99;however;25
26;pronoun throughout p;after cork gloomy;CONSULTANCY;WARN;15;2026-08-01;false;1898.09;22591.73;livid gulp venture;26
27;casement;gymnast whoa;BESPOKE_SOLUTIONS;GOOD;81;2026-08-02;false;5298.98;28319.56;readily for slather;27
28;nor royal tune-up;omelet because trek;DIGITAL_TRANSFORMATION;WARN;95;2026-08-02;false;3327.92;6231.21;spork knavishly;28
29;trench courageously;once tightly sneak;CAPACITY_BUILDING;CRIT;62;2026-08-02;false;24933.23;18697.97;frugal sadly jiggle;29
30;consign citizen unex;gently plumber plan;BESPOKE_SOLUTIONS;DONE;47;2026-08-02;false;32471.01;10764.04;pillory openly;30
