id;quantity;rate;item_id;quote_id
1;30416;9604.8;1;1
2;15379;693.78;2;2
3;32042;6086.14;3;3
4;17561;30117.47;4;4
5;30275;25649.44;5;5
6;13549;11413.85;6;6
7;18921;23899.14;7;7
8;30664;14421.44;8;8
9;28677;18769.42;9;9
10;19679;16229.57;10;10
11;28141;8390.77;11;11
12;16543;20552.91;12;12
13;19132;9424.38;13;13
14;18157;21749.91;14;14
15;23381;19146.79;15;15
16;22965;3813.59;16;16
17;20100;31389.02;17;17
18;24594;8434.01;18;18
19;29500;11974.42;19;19
20;18789;27584.31;20;20
21;13845;21804.76;21;21
22;14536;31552.24;22;22
23;17175;10576.15;23;23
24;16586;24756.01;24;24
25;13071;18004.93;25;25
26;30821;4340.87;26;26
27;18915;11742.47;27;27
28;16316;2622.92;28;28
29;1599;26000.91;29;29
30;2882;1558.61;30;30
