id;reference;subject;priority;opened_at;sla_hours;state;client_id
1;evenly palate;round;SERIOUS;2026-08-02T01:55:31;10458;CLOSED;1
2;tenderly;overtrain excluding variable;DONE;2026-08-02T08:34:47;2452;OPEN;2
3;underneath;order zowie fondly;WARN;2026-08-02T01:44:55;31897;OPEN;3
4;lasting;what for;DONE;2026-08-02T02:03:52;11566;CLOSED;4
5;upon uh-huh edge;huzzah uh-huh ingratiate;CRIT;2026-08-02T11:08:23;25534;OPEN;5
6;gracious;once whenever against;GOOD;2026-08-01T15:24:23;25598;CLOSED;6
7;materialise ideal re;atop psst instead;DONE;2026-08-01T17:56:04;7785;CLOSED;7
8;sideboard;perspire ack;SERIOUS;2026-08-01T16:00:51;10355;OPEN;8
9;furthermore unlike;astride abaft;GOOD;2026-08-02T09:13:46;4048;OPEN;9
10;stupendous dulcimer ;skeletal;CRIT;2026-08-01T20:13:52;32209;OPEN;10
11;if carboxyl;spectate;CRIT;2026-08-01T15:23:57;28130;CLOSED;11
12;whenever;generously bin;CRIT;2026-08-01T14:41:15;20755;OPEN;12
13;happy-go-lucky sadly;coal gadzooks;DONE;2026-08-02T03:29:56;14083;CLOSED;13
14;spirit yuck;fiercely engender;GOOD;2026-08-01T23:21:52;20439;OPEN;14
15;hose tributary absen;perp;SERIOUS;2026-08-02T09:06:07;26286;OPEN;15
16;recede viciously;tousle;GOOD;2026-08-02T04:56:17;22597;CLOSED;16
17;shoulder spirited;exalted;GOOD;2026-08-01T14:50:37;6324;CLOSED;17
18;unconscious daintily;tedious alliance impostor;DONE;2026-08-02T01:43:11;17755;CLOSED;18
19;fiercely huzzah emba;char idolized snuggle;SERIOUS;2026-08-01T20:32:04;5273;CLOSED;19
20;secret willfully;some regal clamour;DONE;2026-08-02T04:41:24;6865;OPEN;20
21;shadowy unnaturally;as;CRIT;2026-08-01T21:48:30;20451;OPEN;21
22;since where;rebuff mmm;CRIT;2026-08-02T12:55:25;25876;CLOSED;22
23;acidic;against midst;DONE;2026-08-02T01:43:29;794;OPEN;23
24;lone;poorly molasses;CRIT;2026-08-02T07:16:20;24255;CLOSED;24
25;yuck suddenly pure;disposer anenst;WARN;2026-08-01T15:40:42;11592;OPEN;25
26;vastly;by ack into;WARN;2026-08-02T05:38:24;26618;OPEN;26
27;legal;pneumonia;CRIT;2026-08-02T11:51:15;21164;OPEN;27
28;eek tarragon now;on;DONE;2026-08-01T15:56:26;2990;CLOSED;28
29;grim;scrutinise oh;DONE;2026-08-02T12:58:06;29691;OPEN;29
30;simple besides kissi;dial bitterly;CRIT;2026-08-02T10:30:30;15977;CLOSED;30
